,name,dataset,algorithm,accuracy,time,time-per-pattern,clique-precision,clique-recall,bipartite core-precision,bipartite core-recall,star-precision,star-recall,chain-precision,chain-recall,none-precision,none-recall
89,14-1662122943293,synthetic-6-96-4,Ours (RDM),0.9310344827586207,37588,9397.0,1.0,1.0,0.9285714285714286,1.0,0.75,1.0,0.8333333333333334,1.0,1.0,0.5
90,1-1661934866373,synthetic-5-90-0,Ours (RDM),0.9666666666666667,15844,3961.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,1.0,1.0,0.6
91,3-1661999533002,synthetic-5-90-0,Ours (RDM),0.9333333333333333,20831,5207.75,1.0,1.0,1.0,1.0,0.75,1.0,0.7142857142857143,1.0,1.0,0.42857142857142855
92,5-1662002195049,synthetic-5-90-0,Ours (RDM),0.9666666666666667,36000,9000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7777777777777778,0.3333333333333333,1.0
93,9-1662010258606,synthetic-5-90-0,Ours (RDM),0.9666666666666667,18792,4698.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,1.0,1.0,0.6
94,0-1661933688574,synthetic-5-90-0,Ours (RDM),0.6333333333333333,90968,15161.333333333334,1.0,0.9032258064516129,0.0,0.0,0.5,0.5,0.7142857142857143,1.0,0.3333333333333333,0.0625
95,11-1662013922332,synthetic-5-90-0,Ours (RDM),0.9,26509,4418.166666666667,1.0,1.0,1.0,1.0,0.75,0.6,0.7142857142857143,1.0,0.3333333333333333,0.3333333333333333
96,2-1661935567051,synthetic-5-90-0,Ours (RDM),0.8333333333333334,19890,6630.0,1.0,1.0,1.0,1.0,0.0,0.0,0.7142857142857143,1.0,1.0,0.23076923076923078
97,6-1662003410816,synthetic-5-90-0,Ours (RDM),0.9333333333333333,27246,6811.5,1.0,1.0,1.0,1.0,0.75,1.0,0.7142857142857143,1.0,1.0,0.42857142857142855
98,10-1662013153023,synthetic-5-90-0,Ours (RDM),0.9333333333333333,20198,5049.5,1.0,1.0,1.0,1.0,0.75,1.0,0.7142857142857143,1.0,1.0,0.42857142857142855
99,4-1662000612817,synthetic-5-90-0,Ours (RDM),0.9666666666666667,19426,4856.5,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,1.0,1.0,0.6
100,8-1662009390411,synthetic-5-90-0,Ours (RDM),0.8333333333333334,23321,7773.666666666667,1.0,1.0,1.0,1.0,0.0,0.0,0.7142857142857143,1.0,1.0,0.23076923076923078
101,7-1662008650057,synthetic-5-90-0,Ours (RDM),0.7,23271,7757.0,1.0,1.0,0.0,0.0,0.75,1.0,0.7142857142857143,1.0,1.0,0.14285714285714285
102,12-1662090291751,synthetic-5-90-0,Ours (RDM),0.9333333333333333,38280,6380.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.7142857142857143,1.0,0.3333333333333333,1.0
103,13-1662121289542,synthetic-5-90-0,Ours (RDM),0.95,20479,5119.75,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.875,0.6666666666666666,0.5
104,14-1662122943293,synthetic-5-90-0,Ours (RDM),0.9,43150,8630.0,1.0,0.9032258064516129,1.0,1.0,0.5,1.0,0.7142857142857143,1.0,1.0,0.5
105,1-1661934866373,synthetic-7-84-9,Ours (RDM),0.5797101449275363,19593,6531.0,0.6,1.0,0.5714285714285714,1.0,0.5,1.0,0.0,0.0,1.0,0.30952380952380953
106,3-1661999533002,synthetic-7-84-9,Ours (RDM),0.391304347826087,49649,16549.666666666668,0.0,0.0,0.7142857142857143,1.0,0.625,1.0,0.0,0.0,0.9230769230769231,0.2553191489361702
107,5-1662002195049,synthetic-7-84-9,Ours (RDM),0.4492753623188406,69393,34696.5,1.0,0.5681818181818182,0.0,0.0,0.5,1.0,0.0,0.0,0.15384615384615385,0.09523809523809523
108,9-1662010258606,synthetic-7-84-9,Ours (RDM),0.5507246376811594,60100,15025.0,0.6,1.0,0.5714285714285714,0.6666666666666666,0.5,1.0,0.0,0.0,0.8461538461538461,0.2894736842105263
109,0-1661933688574,synthetic-7-84-9,Ours (RDM),0.5217391304347826,97466,9746.6,0.6,0.8333333333333334,0.2857142857142857,0.5,0.5,0.4,0.4444444444444444,0.4444444444444444,0.6923076923076923,0.375
110,11-1662013922332,synthetic-7-84-9,Ours (RDM),0.36231884057971014,31300,6260.0,0.0,0.0,0.5714285714285714,0.6666666666666666,0.5,1.0,0.3333333333333333,0.3,0.7692307692307693,0.23255813953488372
111,2-1661935567051,synthetic-7-84-9,Ours (RDM),0.6666666666666666,24599,8199.666666666666,1.0,0.8333333333333334,0.5714285714285714,1.0,0.5,1.0,0.0,0.0,0.6923076923076923,0.3333333333333333
112,6-1662003410816,synthetic-7-84-9,Ours (RDM),0.6521739130434783,35209,5868.166666666667,0.76,1.0,0.5714285714285714,0.6666666666666666,0.5,0.5714285714285714,0.3333333333333333,1.0,0.8461538461538461,0.39285714285714285
113,10-1662013153023,synthetic-7-84-9,Ours (RDM),0.6811594202898551,52700,10540.0,0.76,1.0,0.7142857142857143,0.7142857142857143,0.5,1.0,0.3333333333333333,1.0,0.8461538461538461,0.3793103448275862
114,4-1662000612817,synthetic-7-84-9,Ours (RDM),0.5217391304347826,30665,5110.833333333333,0.6,1.0,0.2857142857142857,0.5,0.5,0.4,0.3333333333333333,1.0,0.7692307692307693,0.30303030303030304
